User,Element_ID,Timestamp,Human_Time
octave,expander_read_urls,1750595701.9223151,2025-06-22 14:35:01
octave,start_quiz,1750595744.5479429,2025-06-22 14:35:44
gao,expander_read_urls,1750597197.5657864,2025-06-22 14:59:57
gao,learn_url_input,1750597207.8492444,2025-06-22 15:00:07
gao,reflection_input,1750597230.8827763,2025-06-22 15:00:30
gao,quiz_safe_click,1750597234.464441,2025-06-22 15:00:34
gao,quiz_safe_click,1750597238.3827193,2025-06-22 15:00:38
gao,sidebar_navigation,1750597245.783569,2025-06-22 15:00:45
gao,expander_report_guide,1750597250.6950986,2025-06-22 15:00:50
gao,quiz_path_risk_button,1750597256.5278306,2025-06-22 15:00:56
gao,quiz_path_risk_button,1750597258.7614877,2025-06-22 15:00:58
gao,sidebar_navigation,1750597265.6320202,2025-06-22 15:01:05
gao,expander_phishing_techniques,1750597274.3137512,2025-06-22 15:01:14
prozine,sidebar_navigation,1750598827.8182347,2025-06-22 15:27:07
jklk;lk,sidebar_navigation,1750601197.62431,2025-06-22 16:06:37
fredo,sidebar_navigation,1750681577.6025562,2025-06-23 14:26:17
gaewhsb3e,expander_read_urls,1750682384.5088894,2025-06-23 14:39:44
gaewhsb3e,sidebar_navigation,1750682393.9605644,2025-06-23 14:39:53
gaewhsb3e,expander_report_components,1750682398.6093144,2025-06-23 14:39:58
yufyjuyhljl,sidebar_navigation,1750683492.6003292,2025-06-23 14:58:12
konga,expander_read_urls,1751103332.7892547,2025-06-28 11:35:32
konga,expander_phishing_techniques,1751103340.6077087,2025-06-28 11:35:40
konga,reflection_submit,1751103362.7204792,2025-06-28 11:36:02
konga,quiz_check_answer,1751103367.423301,2025-06-28 11:36:07
konga,start_quiz,1751103370.4380062,2025-06-28 11:36:10
lady,sidebar_navigation,1751103684.3437486,2025-06-28 11:41:24
lady,sidebar_navigation,1751103686.007691,2025-06-28 11:41:26
lady,quiz_safe_click,1751103691.760654,2025-06-28 11:41:31
lady,quiz_check_answer,1751103692.4559171,2025-06-28 11:41:32
lady,start_quiz,1751103694.6811094,2025-06-28 11:41:34
lady,start_quiz,1751103898.59697,2025-06-28 11:44:58
gret,start_quiz,1751103923.9040408,2025-06-28 11:45:23
rew,start_quiz,1751103952.935849,2025-06-28 11:45:52
gtry,start_quiz,1751104027.9302819,2025-06-28 11:47:07
tore,start_quiz,1751104602.5048137,2025-06-28 11:56:42
kio,expander_read_urls,1751104821.1895957,2025-06-28 12:00:21
kio,expander_phishing_techniques,1751104826.6519206,2025-06-28 12:00:26
kio,start_quiz,1751104978.0234632,2025-06-28 12:02:58
Lafun,start_quiz,1751105426.704726,2025-06-28 12:10:26
kokoko,start_quiz,1751106705.333696,2025-06-28 12:31:45
Chyd,start_quiz,1751107744.1364918,2025-06-28 12:49:04
Chyk,sidebar_navigation,1751108857.1289294,2025-06-28 13:07:37
tor,sidebar_navigation,1751109046.052555,2025-06-28 13:10:46
jji,start_quiz,1751111023.2137778,2025-06-28 13:43:43
gjhkj,sidebar_navigation,1751203132.783318,2025-06-29 15:18:52
gjhkj,quiz_path_risk,1751203140.1639798,2025-06-29 15:19:00
gjhkj,quiz_path_risk_button,1751203142.0585573,2025-06-29 15:19:02
hgjmh,expander_read_urls,1751203181.7653935,2025-06-29 15:19:41
hgjmh,expander_read_urls,1751203183.213372,2025-06-29 15:19:43
hfhcjmvbj,expander_read_urls,1751294996.206913,2025-06-30 16:49:56
hfhcjmvbj,expander_phishing_techniques,1751295001.4321861,2025-06-30 16:50:01
hfhcjmvbj,learn_url_input,1751295022.0996225,2025-06-30 16:50:22
hfhcjmvbj,feedback_url_input,1751295038.264956,2025-06-30 16:50:38
hfhcjmvbj,reflection_submit,1751295055.6452572,2025-06-30 16:50:55
hfhcjmvbj,quiz_safe_click,1751295059.232737,2025-06-30 16:50:59
hfhcjmvbj,quiz_check_answer,1751295060.1786413,2025-06-30 16:51:00
hfhcjmvbj,start_quiz,1751295104.162913,2025-06-30 16:51:44
wfgfg,start_quiz,1752523271.6130185,2025-07-14 22:01:11
CharlesXV,expander_read_urls,1752965811.1424973,2025-07-20 00:56:51
CharlesXV,feedback_url_input,1752965950.167274,2025-07-20 00:59:10
CharlesXV,reflection_submit,1752965968.7494755,2025-07-20 00:59:28
CharlesXV,quiz_check_answer,1752965981.6828265,2025-07-20 00:59:41
CharlesXV,expander_report_components,1752966006.3401518,2025-07-20 01:00:06
CharlesXV,quiz_path_risk,1752966045.7608297,2025-07-20 01:00:45
CharlesXV,quiz_path_risk,1752966057.4385815,2025-07-20 01:00:57
CharlesXV,expander_risk_breakdown,1752966063.4163127,2025-07-20 01:01:03
