city;url;type;target;geltender-datenschutz
Aachen;https://maengelmelder.aachen.de/#pageid=1;web;general;
Augsburg;https://maengelmelder.augsburg.de/;web;bicycle;
Bergisch Gladbach;https://www.bergischgladbach.de/anregungen-und-beschwerden.aspx;web;general;
Berlin;https://ordnungsamt.berlin.de/frontend/dynamic;web;general;
Bielefeld;https://beteiligung.nrw.de/portal/bielefeld/beteiligung/themen/1001101;web;general;
Bochum;https://www.bochum.de/BuergerEcho/BuergerEcho---Maengelmelder;web;general;
Bonn;https://anliegen.bonn.de/;web;general;
Bottrop;https://beteiligung.nrw.de/portal/bottrop/beteiligung/themen/1003929;web;general;
Braunschweig;https://mitreden.braunschweig.de/maengelmelder;web;general;
Bremen;https://bremen.mÃ€ngelmelder.de/#pageid=1;web;general;
Bremerhaven;https://www.bremerhaven.de/de/verwaltung-politik-sicherheit/buergerservice/adressen-oeffnungszeiten/ideen-und-beschwerde-stelle/schaden-melden.34748.html;web;general;
Chemnitz;https://buergerbeteiligung.sachsen.de/portal/chemnitz/beteiligung/themen/1036809;web;general;
Cottbus;https://www.gwc-cottbus.de/mangelmeldung/;web;general;
Darmstadt;https://da-bei.darmstadt.de/bms#pageid=1;web;general;
Dortmund;https://www.edg.de/de/service/maengelmelder.htm;web;general;
Dresden;https://buergerbeteiligung.sachsen.de/portal/dresden/beteiligung/themen/1024377;web;general;
Duisburg;https://radwegmangel.de/;web;bicycle;
Düsseldorf;https://www.duesseldorf.de/formulare/anliegen-melden/;web;general;
Erfurt;https://maengelmelder.erfurt.de/;web;general;
Erlangen;https://secure.erlangen.de/form/alias/erlangen/schadensmeldung/;web;general;
Essen;https://maengelmelder.essen.de/;web;general;
Frankfurt am Main;https://www.ffm.de/frankfurt/de/flawRep/43535;web;general;
Freiburg im Breisgau;https://mitmachen.freiburg.de/;web;general;
Fürth;https://www.gemeinde-fuerth.de/bauen-umwelt-und-wirtschaft/verkehr/maengelmelder-online/;web;general;
Gelsenkirchen;https://www.gelsenkirchen.de/de/_meta/Buergerservice/Onlinedienste/gemeldet.aspx;web;general;
Göttingen;https://www.goettingen.de/rathaus/buergerservice/maengelmelder/neuen-hinweis-melden/;web;general;
Gütersloh;https://www.guetersloh.de/de/themen/maengelmelder.php;web;general;
Hagen;https://www.hagen.de/irj/portal/ODMaengelmelder?redirectOrigin=portal;web;general;
Halle (Saale);https://mitmachen-in-halle.de/sags-uns-einfach;web;general;
Hamburg;https://www.hamburg.de/melde-michel/;web;general;
Hamm;https://www.hamm.de/sags-hamm/anliegen-melden;web;general;
Hanau;https://www.hanau-digital.de/bsp?id=sc_cat_item&sys_id=8416079ddb660150690773e3f39619e5;web;general;
Hannover;https://e-government.hannover-stadt.de/impulsweb.nsf;web;general;
Heidelberg;https://anliegen.heidelberg.de/;web;general;
