Player Name,Score,Total Questions,Accuracy (%),Time Taken,Timestamp
jade,5,14,35.71,56 sec,2025-02-26 00:43:13
jade,5,14,35.71,1 min 9 sec,2025-02-26 00:43:26
fox,8,14,57.14,1 min 38 sec,2025-02-26 00:45:13
fox,8,14,57.14,1 min 43 sec,2025-02-26 00:45:18
rose,6,14,42.86,55 sec,2025-02-26 00:50:56
rose,6,14,42.86,59 sec,2025-02-26 00:51:00
Guest,7,14,50.00,56 sec,2025-02-26 01:16:39
Guest,7,14,50.00,1 min 0 sec,2025-02-26 01:16:43
Panther,7,14,50.00,1 min 3 sec,2025-02-26 15:17:42
Panther,7,14,50.00,1 min 13 sec,2025-02-26 15:17:51
trevo,1,14,7.14,49 sec,2025-02-26 15:34:55
trevo,1,14,7.14,1 min 1 sec,2025-02-26 15:35:07
Spider,6,14,42.86,52 sec,2025-02-26 16:04:15
Spider,6,14,42.86,1 min 36 sec,2025-02-26 16:05:00
Thanos,8,14,57.14,1 min 21 sec,2025-02-26 16:17:01
Thanos,8,14,57.14,1 min 30 sec,2025-02-26 16:17:10
Fox3,14,14,100.00,1 min 36 sec,2025-02-26 16:25:58
Fox3,14,14,100.00,1 min 44 sec,2025-02-26 16:26:06
Fox3,14,14,100.00,1 min 47 sec,2025-02-26 16:26:09
Fox3,14,14,100.00,1 min 48 sec,2025-02-26 16:26:10
Fox3,14,14,100.00,1 min 48 sec,2025-02-26 16:26:10
Fox3,14,14,100.00,1 min 48 sec,2025-02-26 16:26:10
Fox3,14,14,100.00,1 min 48 sec,2025-02-26 16:26:10
Fox3,14,14,100.00,1 min 48 sec,2025-02-26 16:26:11
Fox3,14,14,100.00,1 min 49 sec,2025-02-26 16:26:11
Fox3,14,14,100.00,1 min 51 sec,2025-02-26 16:26:14
Fox3,14,14,100.00,1 min 55 sec,2025-02-26 16:26:17
Fox3,14,14,100.00,1 min 58 sec,2025-02-26 16:26:20
Fox3,14,14,100.00,2 min 0 sec,2025-02-26 16:26:22
Fox3,14,14,100.00,2 min 10 sec,2025-02-26 16:26:32
Jarvis,9,14,64.29,58 sec,2025-02-26 17:41:03
Jarvis,9,14,64.29,29 min 1 sec,2025-02-26 18:09:05
Jarvis,9,14,64.29,29 min 25 sec,2025-02-26 18:09:29
