Player Name,Score,Total Questions,Accuracy (%),Time Taken,Timestamp
Guest,6,14,42.86,59 sec,2025-03-05 11:54:52
Guest,6,14,42.86,1 min 9 sec,2025-03-05 11:55:02
Guest,6,14,42.86,1 min 12 sec,2025-03-05 11:55:04
Thor,5,14,35.71,52 sec,2025-03-05 11:56:29
Thor,5,14,35.71,57 sec,2025-03-05 11:56:34
Thor,5,14,35.71,1 min 2 sec,2025-03-05 11:56:39
Venom,12,14,85.71,1 min 31 sec,2025-03-05 12:12:07
Venom,12,14,85.71,2 min 6 sec,2025-03-05 12:12:42
Venom,12,14,85.71,2 min 9 sec,2025-03-05 12:12:44
Venom,12,14,85.71,2 min 10 sec,2025-03-05 12:12:45
Venom,12,14,85.71,2 min 17 sec,2025-03-05 12:12:53
Marvel,13,14,92.86,6 min 14 sec,2025-03-05 14:00:10
Marvel,13,14,92.86,6 min 20 sec,2025-03-05 14:00:17
Marvel,13,14,92.86,6 min 23 sec,2025-03-05 14:00:20
Rayden,9,14,64.29,14 min 15 sec,2025-03-05 14:15:27
Rayden,9,14,64.29,14 min 30 sec,2025-03-05 14:15:41
Prof X,13,14,92.86,10 min 5 sec,2025-03-05 14:27:49
Prof X,13,14,92.86,10 min 10 sec,2025-03-05 14:27:53
Prof X,13,14,92.86,19 min 20 sec,2025-03-05 14:37:04
StarDust,13,14,92.86,18 min 54 sec,2025-03-05 15:01:36
StarDust,13,14,92.86,19 min 1 sec,2025-03-05 15:01:43
StarDust,13,14,92.86,26 min 24 sec,2025-03-05 15:09:06
StarDust,12,14,85.71,8 min 16 sec,2025-03-05 15:17:22
StarDust,12,14,85.71,8 min 21 sec,2025-03-05 15:17:27
Subzero,13,14,92.86,1 min 31 sec,2025-03-05 15:19:29
Subzero,13,14,92.86,1 min 34 sec,2025-03-05 15:19:32
Subzero,9,14,64.29,54 sec,2025-03-05 15:20:26
Subzero,9,14,64.29,58 sec,2025-03-05 15:20:31
Subzero,7,14,50.00,45 sec,2025-03-05 15:21:16
Subzero,7,14,50.00,50 sec,2025-03-05 15:21:20
Rayden,13,14,92.86,3 min 28 sec,2025-03-05 15:29:14
Rayden,13,14,92.86,3 min 33 sec,2025-03-05 15:29:18
Rayden,13,14,92.86,3 min 39 sec,2025-03-05 15:29:25
Troy ,11,14,78.57,2 min 44 sec,2025-03-05 16:07:33
Troy ,11,14,78.57,2 min 56 sec,2025-03-05 16:07:46
Villan,4,14,28.57,22 min 3 sec,2025-03-05 16:30:25
Villan,4,14,28.57,22 min 11 sec,2025-03-05 16:30:32
Guest,1,14,7.14,2 min 5 sec,2025-03-12 17:53:12
Guest,1,14,7.14,2 min 29 sec,2025-03-12 17:53:35
Guest,1,14,7.14,2 min 33 sec,2025-03-12 17:53:40
Guest,1,14,7.14,2 min 36 sec,2025-03-12 17:53:43
Guest,1,14,7.14,2 min 38 sec,2025-03-12 17:53:45
Guest,1,14,7.14,3 min 1 sec,2025-03-12 17:54:07
Guest,1,14,7.14,3 min 23 sec,2025-03-12 17:54:29
Guest,7,14,50.00,50 min 35 sec,2025-03-12 18:47:28
Guest,7,14,50.00,50 min 46 sec,2025-03-12 18:47:39
Loki,6,14,42.86,2 min 55 sec,2025-03-16 14:42:58
Loki,6,14,42.86,3 min 19 sec,2025-03-16 14:43:21
Loki,6,14,42.86,6 min 2 sec,2025-03-16 14:46:04
Loki,6,14,42.86,6 min 4 sec,2025-03-16 14:46:06
Loki,6,14,42.86,6 min 5 sec,2025-03-16 14:46:08
Loki,6,14,42.86,6 min 7 sec,2025-03-16 14:46:09
Loki,6,14,42.86,6 min 8 sec,2025-03-16 14:46:10
Loki,6,14,42.86,6 min 8 sec,2025-03-16 14:46:11
Loki,6,14,42.86,6 min 9 sec,2025-03-16 14:46:12
